"INCOME_Code","INCOME_Text"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
5,"$40,000 - $49,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
13,"Not Asked Because"
10,"$115,000 +"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
2,"$12,000 - $14,999"
9,"$90,000 - $114,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
1,"Below $12,000"
2,"$12,000 - $14,999"
2,"$12,000 - $14,999"
2,"$12,000 - $14,999"
1,"Below $12,000"
2,"$12,000 - $14,999"
