"INCOME_Code","INCOME_Text"
1,"Below $12,000"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
7,"$60,000 - $74,999"
1,"Below $12,000"
11,"Refused to Answer"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
9,"$90,000 - $114,999"
3,"$15,000 - $29,999"
10,"$115,000 +"
1,"Below $12,000"
7,"$60,000 - $74,999"
1,"Below $12,000"
1,"Below $12,000"
6,"$50,000 - $59,999"
8,"$75,000 - $89,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
9,"$90,000 - $114,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
