"CP_X.x","CP_Station.Name.x","CP_Org.Name.x","CP_Address.1.x","CP_City.x","CP_State.x","CP_Postal.Code","CP_County","CP_Country","CP_No..of.Ports.x","CP_Station.Activation.Type.x","CP_Customer.Category.x","CP_addresses","CP_lon.x","CP_lat.x","CP_X.y","CP_Station.Name.y","CP_Org.Name.y","CP_Address.1.y","CP_City.y","CP_State.y","CP_No..of.Ports.y","CP_Station.Activation.Type.y","CP_Customer.Category.y","CP_lon.y","CP_lat.y","EV_Station.name","EV_Ports","EV_Number.of.Stations","EV_NewLat","EV_NewLong"
1,"ZONE 20 / ZONE 20 #2","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",96822,"Honolulu County","United States",2,"Public","Education","2520 Dole St,Honolulu,Hawaii",NA,NA,1,"ZONE 20 / ZONE 20 #2","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",2,"Public","Education",-157.8175141,21.2957118,"University of Hawaii Lower Campus Parking Garage",4,2,21.29571,-157.81751
1,"ZONE 20 / ZONE 20 #2","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",96822,"Honolulu County","United States",2,"Public","Education","2520 Dole St,Honolulu,Hawaii",NA,NA,1,"ZONE 20 / ZONE 20 #2","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",2,"Public","Education",-157.8175141,21.2957118,"University of Hawaii Lower Campus Parking Garage",4,2,21.29571,-157.81751
1,"ZONE 20 / ZONE 20 #2","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",96822,"Honolulu County","United States",2,"Public","Education","2520 Dole St,Honolulu,Hawaii",NA,NA,2,"ZONE 20 / ZONE 20 #1","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",2,"Public","Education",-157.8175141,21.2957118,"University of Hawaii Lower Campus Parking Garage",4,2,21.29571,-157.81751
1,"ZONE 20 / ZONE 20 #2","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",96822,"Honolulu County","United States",2,"Public","Education","2520 Dole St,Honolulu,Hawaii",NA,NA,2,"ZONE 20 / ZONE 20 #1","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",2,"Public","Education",-157.8175141,21.2957118,"University of Hawaii Lower Campus Parking Garage",4,2,21.29571,-157.81751
2,"ZONE 20 / ZONE 20 #1","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",96822,"Honolulu County","United States",2,"Public","Education","2520 Dole St,Honolulu,Hawaii",NA,NA,1,"ZONE 20 / ZONE 20 #2","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",2,"Public","Education",-157.8175141,21.2957118,"University of Hawaii Lower Campus Parking Garage",4,2,21.29571,-157.81751
2,"ZONE 20 / ZONE 20 #1","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",96822,"Honolulu County","United States",2,"Public","Education","2520 Dole St,Honolulu,Hawaii",NA,NA,1,"ZONE 20 / ZONE 20 #2","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",2,"Public","Education",-157.8175141,21.2957118,"University of Hawaii Lower Campus Parking Garage",4,2,21.29571,-157.81751
2,"ZONE 20 / ZONE 20 #1","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",96822,"Honolulu County","United States",2,"Public","Education","2520 Dole St,Honolulu,Hawaii",NA,NA,2,"ZONE 20 / ZONE 20 #1","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",2,"Public","Education",-157.8175141,21.2957118,"University of Hawaii Lower Campus Parking Garage",4,2,21.29571,-157.81751
2,"ZONE 20 / ZONE 20 #1","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",96822,"Honolulu County","United States",2,"Public","Education","2520 Dole St,Honolulu,Hawaii",NA,NA,2,"ZONE 20 / ZONE 20 #1","University of Hawaii at Manoa","2520 Dole St","Honolulu","Hawaii",2,"Public","Education",-157.8175141,21.2957118,"University of Hawaii Lower Campus Parking Garage",4,2,21.29571,-157.81751
9,"UH MAUI COLLEGE / KAAIKE 4","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,9,"UH MAUI COLLEGE / KAAIKE 4","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
9,"UH MAUI COLLEGE / KAAIKE 4","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,10,"UH MAUI COLLEGE / KAAIKE 3","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
9,"UH MAUI COLLEGE / KAAIKE 4","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,11,"UH MAUI COLLEGE / KAAIKE 2","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
9,"UH MAUI COLLEGE / KAAIKE 4","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,12,"UH MAUI COLLEGE / KAAIKE 1","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
10,"UH MAUI COLLEGE / KAAIKE 3","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,9,"UH MAUI COLLEGE / KAAIKE 4","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
10,"UH MAUI COLLEGE / KAAIKE 3","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,10,"UH MAUI COLLEGE / KAAIKE 3","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
10,"UH MAUI COLLEGE / KAAIKE 3","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,11,"UH MAUI COLLEGE / KAAIKE 2","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
10,"UH MAUI COLLEGE / KAAIKE 3","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,12,"UH MAUI COLLEGE / KAAIKE 1","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
11,"UH MAUI COLLEGE / KAAIKE 2","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,9,"UH MAUI COLLEGE / KAAIKE 4","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
11,"UH MAUI COLLEGE / KAAIKE 2","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,10,"UH MAUI COLLEGE / KAAIKE 3","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
11,"UH MAUI COLLEGE / KAAIKE 2","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,11,"UH MAUI COLLEGE / KAAIKE 2","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
11,"UH MAUI COLLEGE / KAAIKE 2","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,12,"UH MAUI COLLEGE / KAAIKE 1","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
12,"UH MAUI COLLEGE / KAAIKE 1","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,9,"UH MAUI COLLEGE / KAAIKE 4","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
12,"UH MAUI COLLEGE / KAAIKE 1","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,10,"UH MAUI COLLEGE / KAAIKE 3","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
12,"UH MAUI COLLEGE / KAAIKE 1","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,11,"UH MAUI COLLEGE / KAAIKE 2","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
12,"UH MAUI COLLEGE / KAAIKE 1","UH Maui College","Wahinepio Ave","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Education","Wahinepio Ave,Kahului,Hawaii",NA,NA,12,"UH MAUI COLLEGE / KAAIKE 1","UH Maui College","Wahinepio Ave","Kahului","Hawaii",2,"Public","Education",-156.4809719,20.8923019,"University of Hawai‘i Maui College",8,4,20.89238,-156.48077
16,"TARGET CORP / KONA T2412","Target Corporation","74-5455 Makala Blvd","Kailua-Kona","Hawaii",96740,"Hawaii County","United States",2,"Public","Retail","74-5455 Makala Blvd,Kailua-Kona,Hawaii",NA,NA,16,"TARGET CORP / KONA T2412","Target Corporation","74-5455 Makala Blvd","Kailua-Kona","Hawaii",2,"Public","Retail",-156.0030595,19.6479382,"Target- Hawaii-Kona",2,1,19.6478,-156.00277
19,"TARGET CORP / KAILUA T2697 2","Target Corporation","345 Hahani St","Kailua","Hawaii",96734,"Honolulu County","United States",2,"Public","Retail","345 Hahani St,Kailua,Hawaii",NA,NA,19,"TARGET CORP / KAILUA T2697 2","Target Corporation","345 Hahani St","Kailua","Hawaii",2,"Public","Retail",-157.7394305,21.3914281,"Target- Kailua",2,2,21.39055,-157.7397
19,"TARGET CORP / KAILUA T2697 2","Target Corporation","345 Hahani St","Kailua","Hawaii",96734,"Honolulu County","United States",2,"Public","Retail","345 Hahani St,Kailua,Hawaii",NA,NA,20,"TARGET CORP / KAILUA T2697","Target Corporation","345 Hahani St","Kailua","Hawaii",2,"Public","Retail",-157.7394305,21.3914281,"Target- Kailua",2,2,21.39055,-157.7397
20,"TARGET CORP / KAILUA T2697","Target Corporation","345 Hahani St","Kailua","Hawaii",96734,"Honolulu County","United States",2,"Public","Retail","345 Hahani St,Kailua,Hawaii",NA,NA,19,"TARGET CORP / KAILUA T2697 2","Target Corporation","345 Hahani St","Kailua","Hawaii",2,"Public","Retail",-157.7394305,21.3914281,"Target- Kailua",2,2,21.39055,-157.7397
20,"TARGET CORP / KAILUA T2697","Target Corporation","345 Hahani St","Kailua","Hawaii",96734,"Honolulu County","United States",2,"Public","Retail","345 Hahani St,Kailua,Hawaii",NA,NA,20,"TARGET CORP / KAILUA T2697","Target Corporation","345 Hahani St","Kailua","Hawaii",2,"Public","Retail",-157.7394305,21.3914281,"Target- Kailua",2,2,21.39055,-157.7397
