"CP_X.x","CP_Station.Name.x","CP_Org.Name.x","CP_Address.1.x","CP_City.x","CP_State.x","CP_Postal.Code","CP_County","CP_Country","CP_No..of.Ports.x","CP_Station.Activation.Type.x","CP_Customer.Category.x","CP_addresses","CP_lon.x","CP_lat.x","CP_X.y","CP_Station.Name.y","CP_Org.Name.y","CP_Address.1.y","CP_City.y","CP_State.y","CP_No..of.Ports.y","CP_Station.Activation.Type.y","CP_Customer.Category.y","CP_lon.y","CP_lat.y","commonaddress","EV_X","EV_Station.ID","EV_Station.name","EV_Location","EV_Island","EV_Address","EV_City","EV_State","EV_Zip.Code","EV_Latitude","EV_Longitude","EV_Contact.Name","EV_Charge.Fee","EV_Park.Fee","EV_Parking.Lot","EV_Hours","EV_Ports","EV_Restrictions","EV_Number.of.Stations","EV_Charge.Fees","EV_Manufacturers","EV_Charging.Levels","EV_Date.Initially.Added","EV_NewLat","EV_NewLong"
3,"WWW.HIEV.US / HIEV  DEMO  001","HIEV DEMO UNITS","925 Bethel St","Honolulu","Hawaii",96813,"Honolulu County","United States",1,"Public","Demo Unit","925 Bethel St,Honolulu,Hawaii",NA,NA,3,"WWW.HIEV.US / HIEV  DEMO  001","HIEV DEMO UNITS","925 Bethel St","Honolulu","Hawaii",1,"Public","Demo Unit",-157.8627071,21.3097769,"925BETHELSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"WAILUKU BRANCH / MCFU WAILUKU 1","Maui County Federal Credit Union","1888-1898 Wili Pa Loop","Wailuku","Hawaii",96793,"Maui County","United States",2,"Public","Workplace","1888-1898 Wili Pa Loop,Wailuku,Hawaii",NA,NA,4,"WAILUKU BRANCH / MCFU WAILUKU 1","Maui County Federal Credit Union","1888-1898 Wili Pa Loop","Wailuku","Hawaii",2,"Public","Workplace",-156.4994623,20.8943135,"18881898WILIPALOOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"WAIKELE CENTER / WAIKELE CENTER","American Assets Trust - Waikele Center","94-815 Lumiaina St","Waipahu","Hawaii",96797,"Honolulu County","United States",2,"Public","Retail","94-815 Lumiaina St,Waipahu,Hawaii",NA,NA,5,"WAIKELE CENTER / WAIKELE CENTER","American Assets Trust - Waikele Center","94-815 Lumiaina St","Waipahu","Hawaii",2,"Public","Retail",-158.0057288,21.4001463,"94815LUMIAINASTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"VA MEDICAL CNTR / HONOLULU VA 3","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",96819,"Honolulu County","United States",2,"Public","Healthcare","459 Patterson Rd,Honolulu,Hawaii",NA,NA,6,"VA MEDICAL CNTR / HONOLULU VA 3","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",2,"Public","Healthcare",-157.8894405,21.3612248,"459PATTERSONROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"VA MEDICAL CNTR / HONOLULU VA 3","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",96819,"Honolulu County","United States",2,"Public","Healthcare","459 Patterson Rd,Honolulu,Hawaii",NA,NA,7,"VA MEDICAL CNTR / HONOLULU VA 2","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",2,"Public","Healthcare",-157.8894405,21.3612248,"459PATTERSONROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"VA MEDICAL CNTR / HONOLULU VA 3","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",96819,"Honolulu County","United States",2,"Public","Healthcare","459 Patterson Rd,Honolulu,Hawaii",NA,NA,8,"VA MEDICAL CNTR / HONOLULU VA 1","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",2,"Public","Healthcare",-157.8894405,21.3612248,"459PATTERSONROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"VA MEDICAL CNTR / HONOLULU VA 2","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",96819,"Honolulu County","United States",2,"Public","Healthcare","459 Patterson Rd,Honolulu,Hawaii",NA,NA,6,"VA MEDICAL CNTR / HONOLULU VA 3","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",2,"Public","Healthcare",-157.8894405,21.3612248,"459PATTERSONROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"VA MEDICAL CNTR / HONOLULU VA 2","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",96819,"Honolulu County","United States",2,"Public","Healthcare","459 Patterson Rd,Honolulu,Hawaii",NA,NA,7,"VA MEDICAL CNTR / HONOLULU VA 2","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",2,"Public","Healthcare",-157.8894405,21.3612248,"459PATTERSONROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"VA MEDICAL CNTR / HONOLULU VA 2","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",96819,"Honolulu County","United States",2,"Public","Healthcare","459 Patterson Rd,Honolulu,Hawaii",NA,NA,8,"VA MEDICAL CNTR / HONOLULU VA 1","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",2,"Public","Healthcare",-157.8894405,21.3612248,"459PATTERSONROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"VA MEDICAL CNTR / HONOLULU VA 1","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",96819,"Honolulu County","United States",2,"Public","Healthcare","459 Patterson Rd,Honolulu,Hawaii",NA,NA,6,"VA MEDICAL CNTR / HONOLULU VA 3","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",2,"Public","Healthcare",-157.8894405,21.3612248,"459PATTERSONROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
