,Cmn_Address,CH_Unnamed: 0,CH_Station Name,CH_Org Name,CH_Address 1,CH_City,CH_State,CH_Postal Code,CH_County,CH_Country,CH_No. of Ports,CH_Station Activation Type,CH_Customer Category
0,1000ULUOHIASTREET,105,C&C HONOLULU / KAPOLEI HALE,City & County of Honolulu,1000 Ulu'Ohi'a St,Kapolei,Hawaii,96707,Honolulu County,United States,1,Public,Municipal
1,1001KAMOKILABOULEVARD,100,CAMPBELL SQUARE / 1001 KAMOKILA,"James Campbell Company LLC co MMI Realty Services, Inc.",1001 Kamokila Blvd,Kapolei,Hawaii,96707,Honolulu County,United States,2,Public,Workplace
2,100HOOKELESTREET,21,TARGET CORP / KAHULUI T2660 2,Target Corporation,100 Ho'okele St,Kahului,Hawaii,96732,Maui County,United States,2,Public,Retail
3,100NOHEAKAIDRIVE,56,MAUI OCEAN CLUB / MARRIOTT MOC,Marriott MOC,100 Nohea Kai Dr,Lahaina,Hawaii,96761,Maui County,United States,1,Public,Hospitality
4,101MALUNIUAVENUE,92,HALE MALUNIU / HALE MALUNIU,Highmark Capital LLC,101 Maluniu Ave,Kailua,Hawaii,96734,Honolulu County,United States,2,Public,Multifamily Commercial
5,1031NUUANUAVENUE,109,C&C HONOLULU / CHINATOWN GTWY,City & County of Honolulu,1031 Nuuanu Ave,Honolulu,Hawaii,96817,Honolulu County,United States,1,Public,Retail
6,111911234THAVENUE,32,STATION / KAIMUKI 1,CBI Inc. Hawaii,1119-1123 4th Ave,Honolulu,Hawaii,96816,Honolulu County,United States,2,Public,Retail
7,11511185WAIANUENUEAVENUE,45,PARKING LOT / HMC1,Hawaii Health Systems Hilo Medical Center,1151-1185 Waianuenue Ave,Hilo,Hawaii,96720,Hawaii County,United States,2,Public,Healthcare
8,1170NUUANUAVENUE,101,C&C HONOLULU / SMITH-BERETANIA,City & County of Honolulu,1170 Nuuanu Ave,Honolulu,Hawaii,96817,Honolulu County,United States,1,Public,Municipal
9,1189WAIMANUSTREET,27,STATION 2 / WAIHONUA 5,Waihonua at Kewalo,1189 Waimanu St,Honolulu,Hawaii,96814,Honolulu County,United States,1,Public,Workplace
10,1234SOUTHBERETANIASTREET,148,1234 BERETANIA / S BERETANIA ST,"MMI Realty Services, Inc.",1234 S. Beretania St,Honolulu,Hawaii,96814,Honolulu County,United States,2,Public,Workplace
11,1260KUALASTREET,59,KUALA / STATION 2,Hickam Federal Credit Union,1260 Kuala St,Pearl City,Hawaii,96782,Honolulu County,United States,1,Public,Workplace
12,1288ALAMOANABOULEVARD,93,GS STATION / HOKUA 1,Hokua Honolulu,1288 Ala Moana Blvd,Honolulu,Hawaii,96814,Honolulu County,United States,2,Public,Multifamily Commercial
13,13001318HI92,43,PARKLANE / STATION 2,Parklane Ala Moana,1300-1318 HI-92,Honolulu,Hawaii,96814,Honolulu County,United States,1,Public,Multifamily Commercial
14,13201346HI92,42,PARKLANE / STATION 3,Parklane Ala Moana,1320-1346 HI-92,Honolulu,Hawaii,96814,Honolulu County,United States,2,Public,Multifamily Commercial
15,151KAPAHULUAVENUE,106,C&C HONOLULU / HONOLULU ZOO,City & County of Honolulu,151 Kapahulu Ave,Honolulu,Hawaii,96815,Honolulu County,United States,1,Public,Hospitality
16,155NORTHBERETANIASTREET,107,C&C HONOLULU / HALE PAUAHI,City & County of Honolulu,155 N Beretania St,Honolulu,Hawaii,96817,Honolulu County,United States,1,Public,Multifamily Commercial
17,1703BINGHAMSTREET,80,KAPIOLANI / KMC 1,HPH Kapiolani Medical Center,1703 Bingham St,Honolulu,Hawaii,96826,Honolulu County,United States,2,Public,Healthcare
18,1801KALAKAUAAVENUE,49,NCC DEMO / ALOHA CHARGE,DEMO Org - NCC (Natl Car Charging),1801 Kalakaua Ave,Honolulu,Hawaii,96815,Honolulu County,United States,2,Public,Demo Unit
19,18881898WILIPALOOP,4,WAILUKU BRANCH / MCFU WAILUKU 1,Maui County Federal Credit Union,1888-1898 Wili Pa Loop,Wailuku,Hawaii,96793,Maui County,United States,2,Public,Workplace
20,200NOHEAKAIDRIVE,86,HYATT REGENCY / HYATT REGENCY,Hyatt Regency Lahaina Maui,200 Nohea Kai Dr,Lahaina,Hawaii,96761,Maui County,United States,2,Public,Hospitality
21,210WESTKAMEHAMEHAAVENUE,58,MAUI ELECTRIC / MECO 001,MECO,210 W Kamehameha Ave,Kahului,Hawaii,96732,Maui County,United States,2,Public,Workplace
22,2139KUHIOAVENUE,35,RCRWB / EV STATION 02,The Ritz-Carlton Residences Waikiki Beach,2139 Kuhio Ave,Honolulu,Hawaii,96815,Honolulu County,United States,2,Public,Parking
23,2330KALAKAUAAVENUE,82,IMP EV CHARGING / LEVEL - 6 RIGHT,International Market Place,2330 Kalakaua Ave,Honolulu,Hawaii,96815,Honolulu County,United States,2,Public,Retail
24,2520DOLESTREET,1,ZONE 20 / ZONE 20 #2,University of Hawaii at Manoa,2520 Dole St,Honolulu,Hawaii,96822,Honolulu County,United States,2,Public,Education
25,26NORTHKUKUISTREET,89,HOSOI MORTUARY / HGMI001,Hosoi Garden Mortuary,26 N Kukui St,Honolulu,Hawaii,96817,Honolulu County,United States,2,Public,Parking
