,Cmn_Address,EV_Unnamed: 0,EV_Station ID,EV_Station name,EV_Location,EV_Island,EV_Address,EV_City,EV_State,EV_Zip Code,EV_Latitude,EV_Longitude,EV_Contact Name,EV_Charge Fee,EV_Park Fee,EV_Parking Lot,EV_Hours,EV_Ports,EV_Restrictions,EV_Number of Stations,EV_Charge Fees,EV_Manufacturers,EV_Charging Levels,EV_Date Initially Added
0,1001KAMOKILABOULEVARDKAPOLEIBUILDING,257,905,Campbell Square,P1 across from elevators,Oahu,"1001 Kamokila Blvd, Kapolei Building",Kapolei,HI,96707,21°20′04″.776 N,158°04′49″.908 S,Patrick Park consumer,$2.50 first hour then $5.00 afterwards,None,,Always open,2,,2,Paid,ChargePoint,2,12 December 2017
4,100HOOKELESTREET,198,765,Target Corp Maui - Kahului,Parking lot,Maui,100 Ho'okele St,Kahului,HI,96732,20°52′30″.936 N,156°27′23″.940 S,,Free,"First 2 hours free, $2/hr threafter",,24/7,2,,1,Free,ChargePoint,2,08 April 2016
5,100NOHEAKAIDRIVE,23,315,Marriott Maui Ocean Club,The charging station is located in the Valet station,Maui,100 Nohea Kai Drive,Lahaina,HI,96761,20°54′57″.038 N,156°41′43″.051 S,"Jay Corpuz, Chief Engineer",Free,"$14/Day for Self-Park, $16/Day Valet",Marriott Maui Ocean Club,24/7,1,,1,Free,ChargePoint,2,27 December 2012
8,1031NUUANUAVENUE,95,491,Chinatown Gateway Plaza Parking Structure,The entrance to the parking structure is located on Bethel Street.  Follow blue signs to Charger.,Oahu,1031 Nuuanu Ave,Honolulu,HI,96817,21°18′37″.954 N,157°51′44″.092 S,Allyn Lee,Free,Free for EV Drivers,Chinatown Gateway Plaza Parking Structure,6:00am-12:00am,1,Activate with ChargePoint Network card or call the number listed on the front of the charging station for access.,1,Free,ChargePoint,2,27 December 2012
16,1170NUUANU,94,489,Smith-Beretania Parking Structure,Entrance on Beretania Street between Nuuanu Avenue and Smith Street.  Follow blue signs to Charger.,Oahu,1170 Nuuanu,Honolulu,HI,96817,21°18′43″.037 N,157°51′38″.251 S,Allyn Lee,Free,Free for EV Drivers,Smith-Beretania Parking Structure,6:00am-12:00am,1,Free parking for EV Drivers.  Activate Charger with ChargePoint Network card or call the number listed on the front of the Charger for access.,1,Free,ChargePoint,2,27 December 2012
25,1380LUSITANASTREET,75,447,Queen’s Physician Office Building,"1 Charger at POB 1 lot on Lusitaina St. Main entry Makai side level 3, 2nd Charger at Miller St. garage across emergency room level B2 near cashiers booth",Oahu,1380 Lusitana street,Honolulu,HI,96813,21°18′30″.168 N,157°51′11″.304 S,contacted successfully in 01-13-2017,$2.00/hr,Patients $1/half hour max 5$. Visitors can get validation $5 flat rate.,Queen’s Physician Office Building,24/7,6,Valet must activate charging station.,3,Free,ChargePoint,2,27 December 2012
33,151KAPAHULUAVENUE,92,485,Honolulu Zoo Parking Lot (Currently DOWN),Entrance to parking lot is on Kapahulu.  Follow blue signs to Charger.,Oahu,151 Kapahulu Avenue,Honolulu,HI,96815,21°16′17″.897 N,157°49′16″.980 S,Allyn Lee,Free,Free for EV Drivers,Honolulu Zoo Parking Lot,6:00am-12:00am,1,Activate Charger with ChargePoint Network card or call the number listed on the front of the Charger for access.,1,Free,ChargePoint,2,27 December 2012
35,155NORTHBERETANIASTREET,96,493,Hale Pauahi Parking Structure,The entrance is on Beretania Street.  Follow blue signs to Charger.,Oahu,155 N Beretania St.,Honolulu,HI,96817,21°18′48″.893 N,157°51′42″.078 S,Allyn Lee,Free,Free for EV Drivers,Hale Pauahi Parking Structure,6:00am-12:00am,1,Activate with a ChargePoint Network card or call the number listed on the front of the charging station for access.,1,Free,ChargePoint,2,27 December 2012
48,200NOHEAKAIDRIVE,19,307,Hyatt Regency Maui,"In the Lahaina parking area, take a left turn towards back area, EV station will be directly on your right",Maui,200 Nohea Kai Drive,Lahaina,HI,96761,20°54′45″.612 N,156°41′31″.923 S,"Mike Pentergas, Engineering",Paid,"Free for Restaurant Guests with validation.  $14/Day for Self-Parking, $5/Valet",Hyatt Regency Maui,24/7,2,$3.50/hour. 4 hour limit.  Pay with Credit Card at charging station.,1,Paid,ChargePoint,2,27 December 2012
70,2345KUHIOAVENUE,242,869,International Market Place,.,Oahu,2345 Kuhio Ave,Honolulu,HI,96815,21°16′41″.844 N,157°49′31″.764 S,facility office,Paid,Paid,,24/7,8,,2,Paid,ChargePoint,2,20 January 2017
