,Cmn_Address,EV_Unnamed: 0,EV_Station ID,EV_Station name,EV_Location,EV_Island,EV_Address,EV_City,EV_State,EV_Zip Code,EV_Latitude,EV_Longitude,EV_Contact Name,EV_Charge Fee,EV_Park Fee,EV_Parking Lot,EV_Hours,EV_Ports,EV_Restrictions,EV_Number of Stations,EV_Charge Fees,EV_Manufacturers,EV_Charging Levels,EV_Date Initially Added
0,1001KAMOKILABOULEVARDKAPOLEIBUILDING,257,905,Campbell Square,P1 across from elevators,Oahu,"1001 Kamokila Blvd, Kapolei Building",Kapolei,HI,96707,21°20′04″.776 N,158°04′49″.908 S,Patrick Park consumer,$2.50 first hour then $5.00 afterwards,None,,Always open,2,,2,Paid,ChargePoint,2,12 December 2017
1,1003BISHOPSTREET,149,653,Bishop Square,10th floor,Oahu,1003 Bishop Street,Honolulu,HI,96813,21°18′32″.580 N,157°51′37″.296 S,AMB,"$2 per hour for first 2 hours, $4 hour each additional hour",,,24/7,2,Contact SemaConnect to initiate charge. Contact details located on charger,2,Paid,SemaConnect,2,31 March 2015
2,1005MOANALUAROAD,74,443,Pearlridge Shopping Center (uptown),"1 Volta charging station is located next to the main uptown entrance, fronting Taco Bell. Look for the Revolusun sign.",Oahu,1005 Moanalua Road,Aiea,HI,96701,21°23′09″.348 N,157°56′28″.752 S,"Kendall Doi, Operation Managers",Free,Free for customers,Pearlridge Shopping Center (uptown),"Mon-Sat 10:00am-9:00pm, Sun 10:00am-6:00pm",1,,1,Free,Volta,2,27 December 2012
3,100HOLOMOANASTREET,43,371,Prince Waikiki Hotel (Hawaii Prince Hotel Waikiki),on level E of the parking garage,Oahu,100 Holomoana St.,Honolulu,HI,96815,21°17′11″.454 N,157°50′24″.759 S,"Rod Suzumoto, Dir. Of Engineering",$2.30/ hour,$2.50/ ½ hour; restaurant patron $6 limit up to 6 hours; banquet patron $11.00 up to 12 hours,Hawaii Prince Hotel,24/7,4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,Paid,OpConnect,2,27 December 2012
4,100HOOKELESTREET,198,765,Target Corp Maui - Kahului,Parking lot,Maui,100 Ho'okele St,Kahului,HI,96732,20°52′30″.936 N,156°27′23″.940 S,,Free,"First 2 hours free, $2/hr threafter",,24/7,2,,1,Free,ChargePoint,2,08 April 2016
5,100NOHEAKAIDRIVE,23,315,Marriott Maui Ocean Club,The charging station is located in the Valet station,Maui,100 Nohea Kai Drive,Lahaina,HI,96761,20°54′57″.038 N,156°41′43″.051 S,"Jay Corpuz, Chief Engineer",Free,"$14/Day for Self-Park, $16/Day Valet",Marriott Maui Ocean Club,24/7,1,,1,Free,ChargePoint,2,27 December 2012
6,1010PENSACOLASTREET,99,509,Kaiser Permanente Honolulu Clinic,The charging stations are located on the 3rd Floor,Oahu,1010 Pensacola St,Honolulu,HI,96797,21°18′03″.960 N,157°50′46″.140 S,Victor Toress,Free,,Kaiser Honolulu Clinic,24/7,6,,6,Free,Volta,2,27 December 2012
7,101PAKAULASTREET,29,331,Walmart,The charging stations are located in the back by the garden center,Maui,101 Pakaula Street,Kahului,HI,96732,20°52′40″.441 N,156°27′20″.913 S,"Garth, Manager",Blink Plus: $1.00/hour.  Blink Basic: $1.50/hour.  Blink Guest: $2.00/hour,Free,Wal-Mart,24/7,1,,1,Paid,Blink,2,27 December 2012
8,1031NUUANUAVENUE,95,491,Chinatown Gateway Plaza Parking Structure,The entrance to the parking structure is located on Bethel Street.  Follow blue signs to Charger.,Oahu,1031 Nuuanu Ave,Honolulu,HI,96817,21°18′37″.954 N,157°51′44″.092 S,Allyn Lee,Free,Free for EV Drivers,Chinatown Gateway Plaza Parking Structure,6:00am-12:00am,1,Activate with ChargePoint Network card or call the number listed on the front of the charging station for access.,1,Free,ChargePoint,2,27 December 2012
9,1044AUAHISTREET,101,529,Ward Village Parking structure- Ward Theater,Ward Theater,Oahu,1044 Auahi Street,Honolulu,HI,96814,21°17′38″.508 N,157°51′12″.276 S,,Free,Free,,Mon-Sun 9:00am-9:30pm,2,4hrs charging allowed,2,Free,Volta,2,19 March 2013
10,1050ALAMOANABOULEVARD,126,599,Ward Warehouse,The charging station is located in front of Executive Chef.  Front row stall as you enter center parking.,Oahu,1050 Ala Moana Boulevard,Honolulu,HI,96814,21°17′41″.856 N,157°51′25″.344 S,"Arden Penton Director, Media and Operations",Free,,,,1,,1,Free,Volta,2,21 November 2013
11,1130NORTHNIMITZHIGHWAY,66,427,Enterprise Nimitz Center,The chargers are located at Enterprise Rent-a-Car parking in rear of garage,Oahu,1130 North Nimitz Hwy,Honolulu,HI,96817,21°19′07″.862 N,157°52′28″.365 S,Chief Engineers Randall Morisako,$2/hour or any fraction thereof,First 2-hours free for customers,Nimitz Center,8:00am-9:00pm,2,Restricted to Enterprise Fleet EVs only. 4 hour limit.,2,Paid,OpConnect,2,27 December 2012
