"CP_Station.Name.x","CP_No..of.Ports.x","CP_lon.x","CP_lat.x","CP_Station.Name.y","CP_No..of.Ports.y","CP_lon.y","CP_lat.y","EV_X","EV_Station.ID","EV_Station.name","EV_Location","EV_Island","EV_Address","EV_City","EV_State","EV_Zip.Code","EV_Latitude","EV_Longitude","EV_Contact.Name","EV_Charge.Fee","EV_Park.Fee","EV_Parking.Lot","EV_Hours","EV_Ports","EV_Restrictions","EV_Number.of.Stations","EV_Charge.Fees","EV_Manufacturers","EV_Charging.Levels","EV_Date.Initially.Added","EV_NewLat","EV_NewLong"
"ZONE 20 / ZONE 20 #2",2,NA,NA,"ZONE 20 / ZONE 20 #2",2,-157.8175141,21.2957118,82,465,"University of Hawaii Lower Campus Parking Garage","The charging stations are located on the ground floor, Section F","Oahu","2520 Dole Street","Honolulu","HI",96822,"21°17′44″.556 N","157°49′03″.036 S",NA,"$2/hour or any fraction thereof","Free parking for EV Drivers","University of Hawaii Lower Campus Parking Garage","5:00am-12:00am UH Permit Holders Access: 24/7",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,"Paid","OpConnect",2,"27 December 2012",21.29571,-157.81751
"ZONE 20 / ZONE 20 #2",2,NA,NA,"ZONE 20 / ZONE 20 #2",2,-157.8175141,21.2957118,168,697,"University of Hawaii Lower Campus Parking Garage","Ground floor- Section F","Oahu","2520 Dole Street","Honolulu","HI",96822,"21°17′44″.556 N","157°49′03″.036 S",NA,"$2/hr or any fraction thereof",NA,NA,"5am-12am",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,"Paid","OpConnect",1,"02 April 2015",21.29571,-157.81751
"ZONE 20 / ZONE 20 #2",2,NA,NA,"ZONE 20 / ZONE 20 #1",2,-157.8175141,21.2957118,82,465,"University of Hawaii Lower Campus Parking Garage","The charging stations are located on the ground floor, Section F","Oahu","2520 Dole Street","Honolulu","HI",96822,"21°17′44″.556 N","157°49′03″.036 S",NA,"$2/hour or any fraction thereof","Free parking for EV Drivers","University of Hawaii Lower Campus Parking Garage","5:00am-12:00am UH Permit Holders Access: 24/7",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,"Paid","OpConnect",2,"27 December 2012",21.29571,-157.81751
"ZONE 20 / ZONE 20 #2",2,NA,NA,"ZONE 20 / ZONE 20 #1",2,-157.8175141,21.2957118,168,697,"University of Hawaii Lower Campus Parking Garage","Ground floor- Section F","Oahu","2520 Dole Street","Honolulu","HI",96822,"21°17′44″.556 N","157°49′03″.036 S",NA,"$2/hr or any fraction thereof",NA,NA,"5am-12am",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,"Paid","OpConnect",1,"02 April 2015",21.29571,-157.81751
"ZONE 20 / ZONE 20 #1",2,NA,NA,"ZONE 20 / ZONE 20 #2",2,-157.8175141,21.2957118,82,465,"University of Hawaii Lower Campus Parking Garage","The charging stations are located on the ground floor, Section F","Oahu","2520 Dole Street","Honolulu","HI",96822,"21°17′44″.556 N","157°49′03″.036 S",NA,"$2/hour or any fraction thereof","Free parking for EV Drivers","University of Hawaii Lower Campus Parking Garage","5:00am-12:00am UH Permit Holders Access: 24/7",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,"Paid","OpConnect",2,"27 December 2012",21.29571,-157.81751
"ZONE 20 / ZONE 20 #1",2,NA,NA,"ZONE 20 / ZONE 20 #2",2,-157.8175141,21.2957118,168,697,"University of Hawaii Lower Campus Parking Garage","Ground floor- Section F","Oahu","2520 Dole Street","Honolulu","HI",96822,"21°17′44″.556 N","157°49′03″.036 S",NA,"$2/hr or any fraction thereof",NA,NA,"5am-12am",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,"Paid","OpConnect",1,"02 April 2015",21.29571,-157.81751
"ZONE 20 / ZONE 20 #1",2,NA,NA,"ZONE 20 / ZONE 20 #1",2,-157.8175141,21.2957118,82,465,"University of Hawaii Lower Campus Parking Garage","The charging stations are located on the ground floor, Section F","Oahu","2520 Dole Street","Honolulu","HI",96822,"21°17′44″.556 N","157°49′03″.036 S",NA,"$2/hour or any fraction thereof","Free parking for EV Drivers","University of Hawaii Lower Campus Parking Garage","5:00am-12:00am UH Permit Holders Access: 24/7",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,"Paid","OpConnect",2,"27 December 2012",21.29571,-157.81751
"ZONE 20 / ZONE 20 #1",2,NA,NA,"ZONE 20 / ZONE 20 #1",2,-157.8175141,21.2957118,168,697,"University of Hawaii Lower Campus Parking Garage","Ground floor- Section F","Oahu","2520 Dole Street","Honolulu","HI",96822,"21°17′44″.556 N","157°49′03″.036 S",NA,"$2/hr or any fraction thereof",NA,NA,"5am-12am",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,"Paid","OpConnect",1,"02 April 2015",21.29571,-157.81751
"UH MAUI COLLEGE / KAAIKE 4",2,NA,NA,"UH MAUI COLLEGE / KAAIKE 4",2,-156.4809719,20.8923019,137,627,"University of Hawai‘i Maui College","Parking lot at Kaaike building under PV Array.","Maui","Wahinepio Ave","Kahului","HI",96732,"20°53′32″.568 N","156°28′50″.772 S",NA,"Free","Free",NA,"7 am to 9 pm",8,"Chargers on a first come first serve basis.ChargePoint Chargers require a ChargePoint Card and/or ChargePoint App .Charging time limited to 4 hours or full charge, which ever comes first.",4,"Free","ChargePoint",2,"01 July 2014",20.89238,-156.48077
"UH MAUI COLLEGE / KAAIKE 4",2,NA,NA,"UH MAUI COLLEGE / KAAIKE 3",2,-156.4809719,20.8923019,137,627,"University of Hawai‘i Maui College","Parking lot at Kaaike building under PV Array.","Maui","Wahinepio Ave","Kahului","HI",96732,"20°53′32″.568 N","156°28′50″.772 S",NA,"Free","Free",NA,"7 am to 9 pm",8,"Chargers on a first come first serve basis.ChargePoint Chargers require a ChargePoint Card and/or ChargePoint App .Charging time limited to 4 hours or full charge, which ever comes first.",4,"Free","ChargePoint",2,"01 July 2014",20.89238,-156.48077
"UH MAUI COLLEGE / KAAIKE 4",2,NA,NA,"UH MAUI COLLEGE / KAAIKE 2",2,-156.4809719,20.8923019,137,627,"University of Hawai‘i Maui College","Parking lot at Kaaike building under PV Array.","Maui","Wahinepio Ave","Kahului","HI",96732,"20°53′32″.568 N","156°28′50″.772 S",NA,"Free","Free",NA,"7 am to 9 pm",8,"Chargers on a first come first serve basis.ChargePoint Chargers require a ChargePoint Card and/or ChargePoint App .Charging time limited to 4 hours or full charge, which ever comes first.",4,"Free","ChargePoint",2,"01 July 2014",20.89238,-156.48077
