,Cmn_Address,EV_Unnamed: 0,EV_Station ID,EV_Station name,EV_Location,EV_Island,EV_Address,EV_City,EV_State,EV_Zip Code,EV_Latitude,EV_Longitude,EV_Contact Name,EV_Charge Fee,EV_Park Fee,EV_Parking Lot,EV_Hours,EV_Ports,EV_Restrictions,EV_Number of Stations,EV_Charge Fees,EV_Manufacturers,EV_Charging Levels,EV_Date Initially Added,CH_Unnamed: 0,CH_Station Name,CH_Org Name,CH_Address 1,CH_City,CH_State,CH_Postal Code,CH_County,CH_Country,CH_No. of Ports,CH_Station Activation Type,CH_Customer Category
1,100HOOKELESTREET,198.0,765.0,Target Corp Maui - Kahului,Parking lot,Maui,100 Ho'okele St,Kahului,HI,96732.0,20°52′30″.936 N,156°27′23″.940 S,,Free,"First 2 hours free, $2/hr threafter",,24/7,2.0,,1.0,Free,ChargePoint,2.0,08 April 2016,21.0,TARGET CORP / KAHULUI T2660 2,Target Corporation,100 Ho'okele St,Kahului,Hawaii,96732.0,Maui County,United States,2.0,Public,Retail
2,100NOHEAKAIDRIVE,23.0,315.0,Marriott Maui Ocean Club,The charging station is located in the Valet station,Maui,100 Nohea Kai Drive,Lahaina,HI,96761.0,20°54′57″.038 N,156°41′43″.051 S,"Jay Corpuz, Chief Engineer",Free,"$14/Day for Self-Park, $16/Day Valet",Marriott Maui Ocean Club,24/7,1.0,,1.0,Free,ChargePoint,2.0,27 December 2012,56.0,MAUI OCEAN CLUB / MARRIOTT MOC,Marriott MOC,100 Nohea Kai Dr,Lahaina,Hawaii,96761.0,Maui County,United States,1.0,Public,Hospitality
3,1031NUUANUAVENUE,95.0,491.0,Chinatown Gateway Plaza Parking Structure,The entrance to the parking structure is located on Bethel Street.  Follow blue signs to Charger.,Oahu,1031 Nuuanu Ave,Honolulu,HI,96817.0,21°18′37″.954 N,157°51′44″.092 S,Allyn Lee,Free,Free for EV Drivers,Chinatown Gateway Plaza Parking Structure,6:00am-12:00am,1.0,Activate with ChargePoint Network card or call the number listed on the front of the charging station for access.,1.0,Free,ChargePoint,2.0,27 December 2012,109.0,C&C HONOLULU / CHINATOWN GTWY,City & County of Honolulu,1031 Nuuanu Ave,Honolulu,Hawaii,96817.0,Honolulu County,United States,1.0,Public,Retail
6,151KAPAHULUAVENUE,92.0,485.0,Honolulu Zoo Parking Lot (Currently DOWN),Entrance to parking lot is on Kapahulu.  Follow blue signs to Charger.,Oahu,151 Kapahulu Avenue,Honolulu,HI,96815.0,21°16′17″.897 N,157°49′16″.980 S,Allyn Lee,Free,Free for EV Drivers,Honolulu Zoo Parking Lot,6:00am-12:00am,1.0,Activate Charger with ChargePoint Network card or call the number listed on the front of the Charger for access.,1.0,Free,ChargePoint,2.0,27 December 2012,106.0,C&C HONOLULU / HONOLULU ZOO,City & County of Honolulu,151 Kapahulu Ave,Honolulu,Hawaii,96815.0,Honolulu County,United States,1.0,Public,Hospitality
7,155NORTHBERETANIASTREET,96.0,493.0,Hale Pauahi Parking Structure,The entrance is on Beretania Street.  Follow blue signs to Charger.,Oahu,155 N Beretania St.,Honolulu,HI,96817.0,21°18′48″.893 N,157°51′42″.078 S,Allyn Lee,Free,Free for EV Drivers,Hale Pauahi Parking Structure,6:00am-12:00am,1.0,Activate with a ChargePoint Network card or call the number listed on the front of the charging station for access.,1.0,Free,ChargePoint,2.0,27 December 2012,107.0,C&C HONOLULU / HALE PAUAHI,City & County of Honolulu,155 N Beretania St,Honolulu,Hawaii,96817.0,Honolulu County,United States,1.0,Public,Multifamily Commercial
8,200NOHEAKAIDRIVE,19.0,307.0,Hyatt Regency Maui,"In the Lahaina parking area, take a left turn towards back area, EV station will be directly on your right",Maui,200 Nohea Kai Drive,Lahaina,HI,96761.0,20°54′45″.612 N,156°41′31″.923 S,"Mike Pentergas, Engineering",Paid,"Free for Restaurant Guests with validation.  $14/Day for Self-Parking, $5/Valet",Hyatt Regency Maui,24/7,2.0,$3.50/hour. 4 hour limit.  Pay with Credit Card at charging station.,1.0,Paid,ChargePoint,2.0,27 December 2012,86.0,HYATT REGENCY / HYATT REGENCY,Hyatt Regency Lahaina Maui,200 Nohea Kai Dr,Lahaina,Hawaii,96761.0,Maui County,United States,2.0,Public,Hospitality
11,345HAHANISTREET,184.0,735.0,Target- Kailua,Target,Oahu,345 Hahani St,Kailua,HI,96734.0,21°23′25″.980 N,157°44′22″.920 S,,"first two hours free, $2 after",,,24/7,2.0,requires charge point card,2.0,Paid,ChargePoint,2.0,27 October 2015,19.0,TARGET CORP / KAILUA T2697 2,Target Corporation,345 Hahani St,Kailua,Hawaii,96734.0,Honolulu County,United States,2.0,Public,Retail
12,391MAKAALASTREET,183.0,733.0,Target- Hilo,"In front of store, near ADA spot",Hawaii,391 Makaala Street,Hilo,HI,96720.0,19°42′02″.772 N,155°03′33″.948 S,,"First two hours free, then $2/hr.",Free,,24/7,2.0,requires membership card to activate or can call to use credit card,1.0,Free,ChargePoint,2.0,27 October 2015,25.0,TARGET CORP / HILO T2682 2,Target Corporation,391 Makaala St,Hilo,Hawaii,96720.0,Hawaii County,United States,2.0,Public,Retail
13,3970KAANASTREET,195.0,759.0,5th Circuit Court,Southwest corner of the building; Gated,Kauai,3970 Kaana St,Lihue,HI,96766.0,21°58′36″.732 N,159°21′14″.112 S,,Free,Free,,24/7,1.0,,1.0,Free,ChargePoint,1.0,08 April 2016,147.0,5TH CIRCUIT CRT / EV CHARGER 1,5th Circuit Court,3970 Kaana St,L?hu?e,Hawaii,96766.0,Kauai County,United States,1.0,Public,Workplace
15,4380LAWEHANASTREET,158.0,671.0,Target- Honolulu,Middle row of parking lot - ground floor near entrance,Oahu,4380 Lawehana St,Honolulu,HI,96818.0,21°21′20″.988 N,157°55′45″.372 S,,Free for 3 hours,Free,,M-Sat 8am-12am Sun 8am-11pm,2.0,3 hours charging max. Will need to download Chargepoint app or have membership card to activate charge,1.0,Free,ChargePoint,2.0,01 April 2015,24.0,TARGET CORP / HONOLULU T3978,Target Corporation,4380 Lawehana St,Honolulu,Hawaii,96818.0,Honolulu County,United States,2.0,Public,Retail
