Name,Location,Instructor,Date,OT Points,Total Calories (kCal),Avg HR,Avg Max HR,Workout ID,Username,Studio
Orange 60,In Studio,Blasi,08/29/2018 at 4:15PM,15,345,136,0.74,,RUNJINIM0,waikiki
Orange 60,In Studio,Adrienne,08/05/2018 at 9:30AM,13,359,137,0.7,9570,RUNJINIM0,waikiki
Orange 60,In Studio,Andrea,05/31/2018 at 11:45AM,20,650,156,0.8,,RUNJINIM0,berkeley
Orange 60,In Studio,Avery,05/25/2018 at 6:30AM,0,332,137,0.7,8704,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,05/02/2018 at 5:30PM,17,360,151,0.77,3744,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,04/24/2018 at 5:30PM,20,447,152,0.78,5291,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,08/03/2018 at 8:30AM,18,410,147,0.75,6341,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,08/10/2018 at 5:30PM,0,11,,,6766,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,08/14/2018 at 5:30PM,17,434,150,0.77,7449,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,07/11/2018 at 4:15PM,17,334,144,0.74,7964,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,07/18/2018 at 5:30PM,18,318,143,0.73,8070,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,04/26/2018 at 6:45PM,17,439,152,0.77,10155,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,04/04/2018 at 5:30PM,13,584,152,0.78,,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,04/11/2018 at 4:15PM,14,504,144,0.74,,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,02/23/2018 at 5:30PM,15,562,153,0.78,,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,03/16/2018 at 5:30PM,21,514,157,0.8,,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,10/24/2017 at 5:30PM,8,523,146,0.74,,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,02/09/2018 at 5:30PM,9,494,144,0.74,,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,02/02/2018 at 5:30PM,13,509,150,0.77,,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,08/19/2018 at 9:30AM,16,356,135,0.69,,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,10/27/2017 at 5:30PM,18,575,152,0.78,,RUNJINIM0,waikiki
Orange 60,In Studio,Blasi,09/06/2017 at 12:15PM,21,589,155,0.79,,RUNJINIM0,kapiolani
Orange 60,In Studio,Diane,05/11/2018 at 5:30PM,16,358,150,0.76,6753,RUNJINIM0,waikiki
Orange 60,In Studio,EK,05/18/2018 at 5:30PM,10,421,148,0.76,6754,RUNJINIM0,waikiki
Orange 60,In Studio,EK,10/11/2017 at 5:30PM,18,576,155,0.79,,RUNJINIM0,kapiolani
Orange 60,In Studio,Ericka,03/17/2018 at 9:30AM,13,579,150,0.77,,RUNJINIM0,waikiki
Orange 60,In Studio,Ericka,12/11/2017 at 5:30PM,14,521,150,0.76,,RUNJINIM0,waikiki
Orange 60,In Studio,Ericka,02/11/2018 at 8:15AM,0,415,123,0.63,,RUNJINIM0,waikiki
