"","Date","DayofWeek","Anaheim/SantaAna_CA","Atlanta_GA","Boston_MA","Chicago_IL","Dallas_TX","Denver_CO","Detroit_MI","Houston_TX","LosAngeles_LongBeach_CA","Miami_FL","Minneapolis_StPaul_MN-WI","Nashville_TN","NewOrleans_LA","New York_NY","Norfolk_VirginiaBeach_VA","Oahu_HI","Orlando_FL","Philadelphia_PA","Phoenix_AZ","SanDiego_CA","SanFrancisco_SanMateo_CA","Seattle_WA","StLouis_MO.IL","Tampa_StPetersburg_FL","Washington_DC.MD.VA"
"1",2017-12-31,"Sunday",186.23,125.72,166.33,139.75,98.66,132.69,122.53,97.64,229.09,421.82,130.17,185.85,261.1,440.92,94.44,402.26,185.44,147.41,119.89,158.15,220.74,154.16,104.28,156.34,126.17
"2",2018-01-01,"Monday",154.51,104.29,124.39,93.58,77.62,98.52,81.6,87.02,204.4,328.71,89.45,111.66,248.4,211.06,72.66,378.11,145.57,97.65,106.88,120.53,159.45,105.04,75.42,129.02,99.32
"3",2018-01-02,"Tuesday",142.67,99.86,128.59,95.08,88.63,98.46,85.43,92.41,166.03,258.29,95.27,100.31,115.29,176.98,71.19,335.94,129.83,102.49,109.38,116.79,150.6,105.01,82.83,116.68,102.29
"4",2018-01-03,"Wednesday",143.36,97.18,133.43,98.11,100.88,100.62,89.76,95.26,162.49,238.96,99.45,108.26,110.49,172.24,70.9,293.81,131.26,108.34,110.4,118.07,151.38,107.39,86.84,116.99,106.85
"5",2018-01-04,"Thursday",140.5,96.28,133.85,96.91,102.87,100.78,92.24,93.65,161.71,237.64,96.95,112.23,115.46,172.17,71.34,278.45,132.38,127.4,112.89,119.01,151.17,106.02,84.67,114.43,109.87
"6",2018-01-05,"Friday",136.57,95.79,128.41,93.53,101.12,96.2,87.38,87.5,162.86,237.55,96.77,122.97,130.67,169.97,74.26,267.24,134.1,125.44,108.27,122.36,157.72,101.75,84.31,112.81,106.8
"7",2018-01-06,"Saturday",137.97,110.03,127.89,92.23,98.11,96.33,87.42,87.75,164.46,232.66,99.25,127.96,133.66,167.52,77.2,255.19,132.69,122.9,108.77,122.55,199.17,104.67,86.2,110.64,111.55
"11",2018-01-07,"Sunday",142.86,140.51,130.71,95.28,95.15,100.62,88.2,97.76,165.6,230.06,97.43,138.29,118.16,160.31,72.63,243.71,140.04,108.84,122.38,123.97,565.14,112.34,86.68,114.21,129.57
"21",2018-01-08,"Monday",151.4,163.46,145.1,108.4,117.84,120.06,102.43,112.64,170.01,234.19,111.35,142.48,121.27,175.15,76.28,236.98,168.59,120.48,144.88,138.74,636.17,132.04,97.47,128.3,146.95
"31",2018-01-09,"Tuesday",153.88,137.1,150.25,112.65,124.26,127.18,107.12,117.38,176.42,228.1,116.29,141.07,128.18,199.46,78.15,231.46,172.35,124.69,151.15,145.43,615.47,136.73,102.76,133.34,153.44
"41",2018-01-10,"Wednesday",151.8,142.7,150.3,112.07,125.21,127.76,108.68,117.2,180.26,218.37,114.08,125.65,132.92,185.2,78.33,231.35,167.35,124.35,150.7,146.18,554.3,138.93,102.4,137.8,148.63
"51",2018-01-11,"Thursday",141.34,135.09,137.72,103.64,115.91,121.25,104.68,108.29,174.04,224.79,107.78,120.39,136.32,175.37,76.74,230.91,148.84,114.49,142.08,140.59,257.04,129.32,92.81,132.05,131.21
"61",2018-01-12,"Friday",140.75,122.61,127.46,100.33,100.07,108.36,104.99,96.71,165.51,245.18,103.71,125.7,152.25,179.51,79.88,230.48,137.35,108.99,134.87,136.43,172.05,114.85,91.29,128.53,111.84
"71",2018-01-13,"Saturday",145.07,119.08,138.06,103.98,92.66,105.34,125,100.73,166.78,253.35,114.64,131.28,157.47,208.66,83.26,230.56,127.36,118.11,135.74,137.89,166.91,111.97,91.35,125.86,111.1
"12",2018-01-14,"Sunday",139.02,109.32,129.41,97.19,92.5,103.79,154.66,100.53,162.39,233.45,113.24,122.38,132.99,191.47,78.18,226.69,120.06,103.94,135,133.81,169.99,113.97,86.83,121.52,108.57
"22",2018-01-15,"Monday",145.75,113.28,144.37,106.28,112.36,116.86,163.68,112.71,171.59,221.73,112.51,123.08,126.95,203.96,75.72,225.92,135.02,113.97,146.89,141.52,199.52,135.78,93.16,128.6,121.24
"32",2018-01-16,"Tuesday",151.44,122.61,157.78,115.7,129.97,129.13,155.59,118.78,180.43,230.06,121.46,127.53,128,212.47,78.56,223.16,146.45,127.23,155.36,149.63,232.15,148.69,101.18,138.67,138.39
"42",2018-01-17,"Wednesday",153.47,120.2,158.36,115.26,133.57,130.87,136.7,119.96,180.08,233.54,120.46,127.2,127.84,199.32,77.83,223.12,148,134.5,160.03,150.82,243.95,149.61,101.54,141.62,142.04
"52",2018-01-18,"Thursday",148.11,108.39,146.1,109.07,122.89,123.01,115.95,109.12,177.22,235.28,112.42,126.14,128.39,179.71,78.23,225.16,136.11,128.61,157.75,145.18,221.25,136.84,95.21,136.65,133.03
"62",2018-01-19,"Friday",140.62,95.86,130.95,102.97,103.24,107.08,111.25,94.46,168.55,242.28,105.17,133.79,143.95,167.84,78.65,224.25,121.77,119.72,149.99,139.97,198.68,115.24,88.39,130.78,112.08
"72",2018-01-20,"Saturday",142.35,95.17,136.29,113.38,98.01,104.5,102.24,92.43,164.42,241.5,109.71,129.53,153.99,172.6,79.11,231,119.08,124,143.75,137.47,203.41,114.08,89.59,126.88,110.11
"13",2018-01-21,"Sunday",137.79,98.21,151.67,135.44,100.06,107.79,96.91,103.12,170.97,217.75,105.69,109.35,144.17,162.14,72.48,235.78,128.97,115.1,143.54,137.29,212.69,129.92,83.81,123.06,124.14
"23",2018-01-22,"Monday",152.46,119.12,154.79,149.27,125.32,129.78,110.06,118.4,185.66,226.27,114.49,127.32,144.68,182.84,77.59,234.14,143.03,122.89,156.97,156.97,254.66,150.68,99.92,139.47,141.53
"33",2018-01-23,"Tuesday",162.97,124.98,160.1,145.95,133.1,140.42,115.18,124.4,193,230.38,125.01,133.71,133.41,195.8,78.68,230.67,151.66,126.37,159.79,159.03,252.47,158.92,104.94,145.55,152.19
"43",2018-01-24,"Wednesday",176.26,122.67,161.63,125.2,131.24,156.35,112.76,122.46,185.31,228.31,124.1,137.37,136.5,198.54,78.6,229.16,153.35,126.12,157.12,156.85,249.33,159.27,103.18,145.68,158.52
"53",2018-01-25,"Thursday",178.65,108.04,154.97,107.75,115.81,153.53,103.9,109.47,175.35,230.98,118.18,133.59,137.68,185.49,77.47,223.77,149.9,116.39,148.42,147.71,214.7,144.07,93.62,142.38,146.34
"63",2018-01-26,"Friday",176.15,96.28,139.33,96.06,102.39,131.74,92.91,96.17,161.08,246.73,115.6,127.7,151.29,180.31,81.88,216.89,130.67,108.39,134.56,136.8,178.67,123.63,85.87,147.82,119.2
"73",2018-01-27,"Saturday",172.85,98.51,134.14,97.27,101.21,118.87,97.76,95.89,160.55,249.29,116.7,129.09,153,185.81,84.68,214.75,128.94,110.81,136.7,136.77,178.62,126.35,88.59,150.4,117.1
"14",2018-01-28,"Sunday",144.26,103.35,132.79,98.59,102.52,108.94,89.97,101.74,158.64,216.57,132.67,119.3,134.96,175.48,74.35,213.46,127.57,106.42,141.5,137.22,196.08,144.77,86.06,137.84,133.55
"24",2018-01-29,"Monday",147.7,137.46,149.62,113.2,122.71,124.77,102.63,118.29,173.54,220.37,152.37,129.28,145.98,185.48,75.55,210.3,135.1,121.51,158.06,145.88,243.7,163.18,101.27,136.63,153.95
"34",2018-01-30,"Tuesday",152.87,143.78,154.56,117.63,129.71,128.66,108.07,123.88,177.08,226.96,161.18,138.75,146.19,194.91,77.62,213.38,139.43,126.28,168.14,153.58,258.59,170.26,103.9,141.36,156.96
"44",2018-01-31,"Wednesday",152.06,140.27,151.19,114.79,123.03,124.75,105.03,119.97,176.78,252,175.17,132.8,149.32,192.59,76.63,217.35,136.06,122.09,178.97,155.86,247.43,167.08,102.78,139.23,147.96
"54",2018-02-01,"Thursday",141.42,113.78,142.97,109.62,116.75,116.52,95.62,109.3,167.09,235.42,254.45,136.88,148.8,174.24,74.46,222.19,131.95,115.84,180.15,150.74,210.24,157.27,95.29,139.08,135.11
"64",2018-02-02,"Friday",136.81,92.51,124.63,97.18,101.54,97.29,85.1,92.78,159.67,248.88,340.94,133.67,163.75,165.63,84.69,223.07,126.88,103.5,165.79,137.16,171.06,127.94,84.57,133.85,111.73
"74",2018-02-03,"Saturday",141.16,90.08,129.61,98.64,95.16,96.14,88.13,92.83,157.03,250,355.14,134.23,166.55,170.56,86.04,223.34,126.73,106.94,151.87,136,167.13,115.34,86.56,131.78,112.52
"15",2018-02-04,"Sunday",137.06,95.88,131.7,100.36,94.51,103.22,85.45,96.8,159.44,224.72,360.23,117.13,139.73,163.69,70.93,223.52,128.55,111.41,143.32,141.71,177.45,124.54,83.11,123.53,134.62
"25",2018-02-05,"Monday",163.59,122.99,150.47,113.98,124.65,124.73,100.65,115.95,179.45,222.99,140.67,134.34,148.42,186.79,77.26,223,143.26,126.33,159.57,162.68,225.66,146.65,100.69,137.74,155.83
"35",2018-02-06,"Tuesday",172.27,133.04,156.5,117.56,131.36,131.15,107.47,126.68,187.59,227.1,128.26,144.45,158.07,200.67,78.29,224.76,145.65,135.37,168.96,170.1,244.57,154.86,106.47,149.7,160.75
"45",2018-02-07,"Wednesday",171.76,129.44,153.33,118.11,127.09,131.41,108.55,136.27,185.58,236.98,126.38,141.38,165.44,197.57,77.6,228.63,140.9,150.69,173.72,167.55,260.4,153.75,104.72,154.5,156.98
"55",2018-02-08,"Thursday",148.79,110.55,139.61,106.6,111.24,124.46,96.73,128.15,176.04,250.27,115.85,127.66,180.17,180.78,75.77,234.98,132.08,139.3,168.25,153.72,231.44,139.3,95.63,148.17,141.71
"65",2018-02-09,"Friday",142.89,95.53,128.51,102.91,94.95,110.39,93.19,94.13,163.62,269.54,104.84,130.79,250.2,174.73,80.09,235.41,134.5,118.44,158.21,142.96,191.44,120.33,94.11,147.94,120.72
"75",2018-02-10,"Saturday",145.18,96.25,131.72,101.59,94.54,109.75,91.21,93.45,164.07,271.99,108.04,134.64,266.95,183.47,82.6,237.13,141.51,119.36,157.2,150.11,179.07,117.79,96.94,143.14,121.21
"16",2018-02-11,"Sunday",138.3,101.32,132.67,100.19,97.53,110.4,87.54,100.74,157.01,245.99,102.95,126.06,229.43,168.14,72.8,237.67,142.68,107.25,155.46,159.56,182.01,119.76,86.76,136.78,141.54
"26",2018-02-12,"Monday",149.1,119.67,148.76,114.81,120.06,121.71,100.94,114.77,173.57,243.08,119.68,134.09,195.54,189.22,78.16,238.38,153.67,123.33,167.28,168.22,226.58,138.87,100.98,146.39,158.19
"36",2018-02-13,"Tuesday",150.97,119.53,151.56,117.05,123.48,121.94,104.23,117.72,181.79,243.77,119.55,137,178.48,196.56,79.72,237.66,151.69,122.59,162.11,162.85,233.6,143.76,101.54,148.01,156.95
"46",2018-02-14,"Wednesday",150.32,112.62,147.85,115.78,118.56,118.69,102.46,116.73,186.78,263.36,116.44,138.69,133.48,190.39,77.27,243.32,140.37,118.65,165.15,152.81,227.72,142.69,98.39,148.36,144.58
"56",2018-02-15,"Thursday",153.62,105.35,140.75,111.9,106.24,113.33,95.14,109.01,206.32,304.25,115.61,143.33,137.55,179.06,78.93,250.66,144.58,111.36,168.38,177.32,201.27,132.13,93.45,145.15,136.61
"66",2018-02-16,"Friday",167.26,107,133.44,104.05,95.71,102.46,89.46,97.42,222.84,351.86,110.66,149.73,165.31,188.68,86.71,254.72,151.58,107.45,174.82,189.1,181.31,119.59,99.57,156.15,127.47
"76",2018-02-17,"Saturday",178.57,110.24,138.71,108.12,95.23,102.93,94.5,96.7,228.76,359.12,112.63,149.21,170.6,212.15,90.64,254.33,159.03,117.09,176.37,198.94,188.18,121.32,103.27,162.68,130.25
"17",2018-02-18,"Sunday",169.06,102.99,130.29,99.16,91.3,99.53,90.01,99.24,205.07,319.56,105.4,130.29,157.59,177.5,80.69,250.55,150.31,107.7,167.54,169.83,173.76,120.12,96.8,146.07,124.19
"27",2018-02-19,"Monday",163.01,110,137.36,109.36,116.08,114.32,97.84,115.45,174.36,260.79,111.38,138.92,161.61,177.07,78.74,247.54,145.31,115.47,171.42,158.44,191.99,133.74,102.02,148.86,124.74
"37",2018-02-20,"Tuesday",158.12,120.02,143.19,119.4,129.18,128.36,107.06,130.82,180.48,249.68,120.85,144.53,165.16,186.85,80.54,242.9,147.27,125.96,180.89,153.92,220,149.41,109.25,159.06,142.8
"47",2018-02-21,"Wednesday",158.29,119.05,142.49,126.48,128.36,133.56,106.67,130.22,186.59,258.95,118.76,143.93,167.53,189.8,82.77,242.79,154.02,125.7,182.09,152.3,225.6,151.48,105.03,160.94,148.44
"57",2018-02-22,"Thursday",157.48,106.86,140.8,122.95,114.67,123.56,95.77,121.36,179.08,277.49,109.24,137.1,165.79,175.89,81.66,248.51,151.84,115.07,176.78,154.06,197.17,138.95,98.41,157.13,141.1
"67",2018-02-23,"Friday",156.8,98.64,132.66,116.23,111.8,105.73,90.16,101.87,171.32,300.6,104.14,136.78,180.19,170.78,88.4,233.98,147.75,108.86,172.12,151.95,168.97,121.41,97.81,165.27,119.79
"77",2018-02-24,"Saturday",156.81,99.6,131.48,110.15,110.82,101.59,94.53,99.01,167.2,296.5,107.01,149.09,172.07,175.81,90.38,236.67,145.67,110.6,169.61,155.11,167.51,117.95,98.53,166.98,122.81
"18",2018-02-25,"Sunday",141.91,96.61,132.38,101.11,110.41,101.99,86.69,101.57,157.12,249.98,110.43,153.92,135.28,165.82,74.64,228.55,136.43,106.52,163.67,146.9,191.5,121.49,87.08,148.12,156.39
"28",2018-02-26,"Monday",153.34,117.12,153.72,115.1,125.22,122.18,102.83,120.85,173.08,246.43,123.32,161.26,138.27,186.32,79.88,223.61,146.79,123.48,180.43,164.77,238.01,143.61,102.14,159.7,176.64
"38",2018-02-27,"Tuesday",158.93,122.32,160.55,118.42,131.71,129.87,105.54,126.62,181.21,237.61,127.24,159.15,139.77,199.6,80.69,221.41,145.64,131.14,182.64,173.87,254.45,152.17,105.43,161.59,180.19
"48",2018-02-28,"Wednesday",155.27,121.62,158.84,116.19,123.17,129.46,105.74,124.79,183.4,241.9,122.79,132.95,139.3,199.47,79.25,221.69,141.66,131.22,178.15,170.42,238.5,148.44,102.66,158.99,166.17
