"","Date","DayofWeek","Anaheim/SantaAna_CA","Atlanta_GA","Boston_MA","Chicago_IL","Dallas_TX","Denver_CO","Detroit_MI","Houston_TX","LosAngeles_LongBeach_CA","Miami_FL","Minneapolis_StPaul_MN-WI","Nashville_TN","NewOrleans_LA","New York_NY","Norfolk_VirginiaBeach_VA","Oahu_HI","Orlando_FL","Philadelphia_PA","Phoenix_AZ","SanDiego_CA","SanFrancisco_SanMateo_CA","Seattle_WA","StLouis_MO.IL","Tampa_StPetersburg_FL","Washington_DC.MD.VA"
"1",2017-12-31,"Sunday",88.9,79,69.9,69.8,59,70.7,68.2,56.6,92.1,91.2,70.5,77.4,93.7,91.3,54.8,94.7,93.2,70.4,63,82.8,82.4,69.3,57.8,88.8,60.6
"2",2018-01-01,"Monday",58.9,51.2,28.9,29.3,32.2,38.2,30.2,38.7,70.9,76,26.8,34.6,83.2,73.4,25.2,86.8,71.7,30.2,39.7,49.3,49.8,34.5,27.6,55.4,28.5
"3",2018-01-02,"Tuesday",64.1,52.4,38.1,35.2,40.7,40.3,36.9,46.4,60.9,74.7,35.6,39.3,40.6,70.8,29.4,84.2,75.4,38.3,44.9,52.9,53.3,40.3,35.1,53,34.9
"4",2018-01-03,"Wednesday",71.8,51.3,47.3,41.2,52.2,47,43.5,52.3,65.8,78.5,42.1,45.3,44.1,75.4,35.6,85.5,82.1,52.2,50.9,59.3,60.8,47,40,59,41.9
"5",2018-01-04,"Thursday",71.9,51.7,56,44.7,57.5,49.4,47.9,53.7,68.3,80.9,45.2,48.6,50,80.1,38.9,86,84.3,61.5,56.9,63.9,62.5,47.5,40.3,61.1,45.1
"6",2018-01-05,"Friday",69.7,48.4,45.7,42.5,61.9,50.8,45.5,50.3,69.4,80.6,50.5,52.6,61.7,73.3,36.7,86.7,82.2,62.3,58.5,66,58.8,46,44.5,61.8,43.4
"7",2018-01-06,"Saturday",68.5,53.3,50.6,41.4,58.9,51.9,46.6,51.5,69.4,78.1,55,55.7,66,74.6,36.7,84.3,82.7,65.1,57.8,65.7,63.5,47.7,50.1,60.6,48.4
"11",2018-01-07,"Sunday",54,56.2,42.1,32.6,44.4,46.1,39.4,49.2,57.2,71.7,35,51.4,45.6,61.2,35.3,80.9,75.6,41.8,50.5,47.5,76.5,42.3,41.4,48.4,45.7
"21",2018-01-08,"Monday",64,76.2,59,48.4,64.4,61.9,55.3,66.2,68.2,78.2,54.8,64.9,47.1,70.5,41.7,80.2,90,60.1,66.1,60,88.3,60.4,55,63.5,64.6
"31",2018-01-09,"Tuesday",68.6,75.1,66,55.6,72.3,72.3,62.2,74.1,73.9,78.2,61.6,70,54.8,74.8,44.6,79.7,94.4,64.9,75.4,69.9,91.5,67.8,63.3,70.6,71.3
"41",2018-01-10,"Wednesday",67.8,79.4,65.9,56,73.5,76.3,64.3,73.9,76.6,78.2,64.6,60,59.3,75.3,46.1,81.5,91.8,64.4,78.9,73.1,86.2,70.4,58.9,77.1,67.7
"51",2018-01-11,"Thursday",62.1,73.5,54.4,47.3,66.1,71.5,59.7,68.3,74,80.1,55.2,54.9,62.1,74.5,43.6,84.2,80.9,53.5,75.6,72.6,69.7,63.8,49.3,73.8,55
"61",2018-01-12,"Friday",66.4,72.3,53.2,52,60.1,67.9,60.8,63.3,75.2,83.8,58.5,62.9,71.2,80.6,52.3,86.9,81.4,58.3,77.7,73.9,65.5,59.5,48.8,75.2,53
"71",2018-01-13,"Saturday",74.7,74.1,64.4,57.7,58.5,67.6,67.8,70.5,81,88.1,74.9,58.4,81.2,92.1,54.9,86.8,85,73.7,80.9,82.7,71.4,62.4,54.3,76.6,57.8
"12",2018-01-14,"Sunday",61.6,57.5,48.3,40.1,47.5,53,57.8,55.9,67.4,78.8,57.2,48,59.8,82.3,38.6,83.5,69.2,47.8,69.2,65.4,60.1,52.4,42,61.9,40.4
"22",2018-01-15,"Monday",58.6,61.3,55.9,44.6,65.6,61.2,68.3,67.5,69.9,77.4,54.9,57.6,52.2,78.5,40.8,80.8,65.4,51.6,70.8,64.4,63.7,60.5,44.8,63.5,42.6
"32",2018-01-16,"Tuesday",67.9,73.3,72.6,56.7,76.3,70.1,76.8,78.2,77.5,84.6,66.6,64,60.1,84.9,45.7,80.4,73.6,69.3,80.8,72.7,77.2,72.5,53.9,76.3,56.3
"42",2018-01-17,"Wednesday",72.6,72.2,71,58.2,80,73.9,76.1,74.5,81.2,88.6,66.1,57.7,62.6,79.4,48.6,82.5,73.8,72.8,83.7,74.2,83.7,76.3,55.3,79.8,59.3
"52",2018-01-18,"Thursday",71,59.3,60.8,50.9,72.7,66.7,63.4,66.2,77.5,87.7,55,57.4,57,74.2,44.6,84.6,68.6,64.4,81.5,70.2,78.8,66.3,48.2,76.4,58.9
